School Board,Region,Address,City and Postal Code,Phone Number,Email
C. S. des Affluents,Lanaudi¨¨re - 14,"80, rue Jean-Baptiste-Meilleur",Repentigny (Qc) J6A 6C5,450 492-9400,alain.vezina@dg.csaffluents.qc.ca
C. S. des Appalaches,Chaudi¨¨re-Appalaches - 12,"650, rue Lapierre",Thetford Mines (Qc) G6G 7P1,418 338-7800,
C. S. de la Baie-James,Nord-du-Qu¨¦bec - 10,"596, 4e Rue",Chibougamau (Qc) G8P 1S3,418 748-7621,dgbaiejames@grics.qc.ca
C. S. de la Beauce-Etchemin,Chaudi¨¨re-Appalaches - 12,"1925, 118e Rue",Saint-Georges (Qc) G5Y 7R7,418 228-5541,direction.generale@csbe.qc.ca
C. S. des Bois-Francs,Centre-du-Qu¨¦bec- 17,"40, boulevard Bois-Francs Nord",Victoriaville (Qc) G6P 6S5,819 758-6453,info@csbf.qc.ca
C. S. de la Capitale,Capitale-Nationale - 03,"1900, rue C?t¨¦",Qu¨¦bec (Qc) G1N 3Y5,418 686-4040,parent.erick@cscapitale.qc.ca
Central Qu¨¦bec School Board,Capitale-Nationale - 03,"2046, chemin Saint-Louis",Qu¨¦bec (Qc) G1T 1P4,418 688-8730,
C. S. de Charlevoix,Capitale-Nationale - 03,"575, boul. de Comport¨¦",La Malbaie (Qc) G5A 1T5,418 665-3765,dg@cscharlevoix.qc.ca
C. S. du Chemin-du-Roy,Mauricie - 04,"1515, rue Sainte-Marguerite",Trois-Rivi¨¨res (Qc) G9A 5E7,819 379-5989,
C. S. des Ch¨ºnes,Centre-du-Qu¨¦bec - 17,"457, rue des ?coles",Drummondville (Qc) J2B 1J3,819 478-6700,
C. S. des Chic-Chocs,Gasp¨¦sie¨C?les-de-la-Madeleine - 11,"102, rue Jacques-Cartier",Gasp¨¦ (Qc) G4X 2S9,418 368-3499,info@cschic-chocs.net
C. S. au C?ur-des-Vall¨¦es,Outaouais - 07,"582, rue Maclaren Est",Gatineau (Qc) J8L 2W2,819 986-8511,dgcscv@cscv.qc.ca
C. S. de la C?te-du-Sud,Chaudi¨¨re-Appalaches - 12,"157, rue Saint-Louis",Montmagny (Qc) G5V 4N3,418 248-2016,
C. S. Crie,Nord-du-Qu¨¦bec - 10,"203, rue Main",Mistissini (Qc) G0W 1C0,418 923-2764,dg@cscree.qc.ca
C. S. des D¨¦couvreurs,Capitale-Nationale - 03,"100-945, avenue Wolfe",Qu¨¦bec (Qc) G1V 4E2,418 652-2121,
C. S. des Draveurs,Outaouais - 07,"200, boulevard Maloney Est",Gatineau (Qc) J8P 1K3,819 663-9221,ssgc@csdraveurs.qc.ca
Eastern Shores School Board,Gasp¨¦sie¨C?les-de-la-Madeleine - 11,"40, rue Mountsorrel",New Carlisle (Qc) G0C 1Z0,418 752-2247,dgessb@essb.qc.ca
Eastern Townships School Board,Estrie - 05,340 rue Saint-Jean-Bosco,Magog (Qc) J1X 1K9,819 868-3100,
C. S. de l'?nergie,Mauricie - 04,"2072, rue Gignac, case postale 580","Shawinigan, (Qc) G9N 6V7",819 539-6971,cse@csenergie.qc.ca
